title,rating,author,date,body
"5.0 out of 5 stars
The best I have found for the price! FANTASTIC with my Kindle Fire and I'm hard to please!",,Inlet Sound,"Reviewed in the United States on September 7, 2023",
"5.0 out of 5 stars
Interesting kit",,Cera7771,"Reviewed in the United States on January 6, 2022",
,,Álvaro,"Reviewed in Spain on May 16, 2023",
,,Thiago Inácio,"Reviewed in Brazil on December 19, 2022",
,,Jesús Onieva,"Reviewed in Spain on November 28, 2023",
,,Alex_M,"Reviewed in Spain on September 16, 2021",
,,Ruben,"Reviewed in Spain on November 21, 2020",
